"Library","Version","Latest version","Out of date","Language","Package Manager","Coordinate 1","Coordinate 2","Total vulnerabilities","High risk vulnerability","Medium risk vulnerability","Low risk vulnerability","Dependency (Transitive or Direct)","Projects count","Licenses"
"Apache Commons BeanUtils","1.9.0","1.9.3",true,"Java","Maven","commons-beanutils","commons-beanutils",1,1,0,0,"Direct",1,"[""APACHE20""]"
"Apache Commons Codec","1.6","1.11",true,"Java","Maven","commons-codec","commons-codec",0,0,0,0,"Direct",1,"[""APACHE20""]"
"Apache Commons Collections","1.0","3.2.2",true,"Java","Maven","commons-collections","commons-collections",0,0,0,0,"Direct",1,"[]"
"Apache Commons FileUpload","1.2.1","1.3.3",true,"Java","Maven","commons-fileupload","commons-fileupload",5,2,2,1,"Direct",1,"[""APACHE20""]"
"Apache Commons IO","2.0","2.6",true,"Java","Maven","commons-io","commons-io",1,0,1,0,"Direct",1,"[""APACHE20""]"
"Apache Commons Logging","1.0.2","1.2",true,"Java","Maven","commons-logging","commons-logging",0,0,0,0,"Direct",1,"[]"
"Apache Commons Net","3.3","3.6",true,"Java","Maven","commons-net","commons-net",1,0,0,1,"Direct",1,"[""APACHE20""]"
"Apache HttpClient","4.3.5","4.5.5",true,"Java","Maven","org.apache.httpcomponents","httpclient",2,0,2,0,"Direct",1,"[""APACHE20""]"
"Apache HttpComponents Core","4.3.3","4.4.9",true,"Java","Maven","org.apache.httpcomponents","httpcomponents-core",0,0,0,0,"Direct",1,"[""APACHE20""]"
"Apache POI","3.6","3.17",true,"Java","Maven","org.apache.poi","poi",2,1,1,0,"Direct",1,"[""APACHE20""]"
"args4j","2.33","2.33",false,"Java","Maven","args4j","args4j",0,0,0,0,"Direct",1,"[""MIT""]"
"FindBugs-jsr305","3.0.1","3.0.2",true,"Java","Maven","com.google.code.findbugs","jsr305",0,0,0,0,"Direct",1,"[""APACHE20""]"
"javax.inject","1","1",false,"Java","Maven","javax.inject","javax.inject",0,0,0,0,"Direct",1,"[""APACHE20""]"
"Spring Context","4.2.5.RELEASE","5.0.5.RELEASE",true,"Java","Maven","org.springframework","spring-context",0,0,0,0,"Direct",1,"[""APACHE20""]"
